[0816/134809:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0816/134949:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0816/142806:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0816/142832:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0816/144301:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0816/144313:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0816/144841:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0816/145526:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0816/145801:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0816/150024:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0816/150457:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0816/153434:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0816/164148:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0816/193324:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0817/164039:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0819/113300:ERROR:file_io.cc(30)] read: expected 4, observed 0
